id,County,SubCounty,Ward
221,Marsabit,moyale,butiye
222,Marsabit,moyale,sololo
223,Marsabit,moyale,heilu-manyatta
224,Marsabit,moyale,golbo
225,Marsabit,moyale,moyale township
226,Marsabit,moyale,uran
227,Marsabit,moyale,obbu
228,Marsabit,north horr,illeret
229,Marsabit,north horr,north horr
230,Marsabit,north horr,dukana
231,Marsabit,north horr,maikona
232,Marsabit,north horr,turbi
233,Marsabit,saku,sagante jaldesa
234,Marsabit,saku,karare
235,Marsabit,saku,marsabit central
236,Marsabit,laisamis,loiyangalani
237,Marsabit,laisamis,kargi south horr
238,Marsabit,laisamis,korr ngurunit
239,Marsabit,laisamis,log logo
240,Marsabit,laisamis,laisamis
