id,County,SubCounty,Ward
 172,Wajir,tarbaj,elben
173,Wajir,tarbaj,sarman
174,Wajir,tarbaj,tarbaj
175,Wajir,tarbaj,wargadud
176,Wajir,wajir west,arbajahan
177,Wajir,wajir west,hadado athibohol
178,Wajir,wajir west,ademasajide
179,Wajir,wajir west,wagalla ganyure
180,Wajir,eldas,eldas
181,Wajir,eldas,della
182,Wajir,eldas,lakoley south basir
183,Wajir,eldas,elnur tula tula
184,Wajir,wajir south,benane
185,Wajir,wajir south,burder
186,Wajir,wajir south,dadaja bulla
187,Wajir,wajir south,habasswein
188,Wajir,wajir south,lagboghol south
189,Wajir,wajir south,ibrahim ure
190,Wajir,wajir south,diif
