id,County,SubCounty,Ward 
1,Mombasa,changamwe,port reitz
2,Mombasa,changamwe,kipevu
3,Mombasa,changamwe,airport
4,Mombasa,changamwe,changamwe
5,Mombasa,changamwe,chaani
6,Mombasa,jomvu,jomvu kuu
7,Mombasa,jomvu,miritini
8,Mombasa,jomvu,mikindani
9,Mombasa,kisauni,mjambere
10,Mombasa,kisauni,junda
11,Mombasa,kisauni,bamburi
12,Mombasa,kisauni,mwakirunge
13,Mombasa,kisauni,mtopanga
14,Mombasa,kisauni,magogoni
15,Mombasa,kisauni,shanzu
16,Mombasa,nyali,frere town
17,Mombasa,nyali,ziwa la ng'ombe
18,Mombasa,nyali,mkomani
19,Mombasa,nyali,kongowea
20,Mombasa,nyali,kadzandani
21,Mombasa,likoni,mtongwe
22,Mombasa,likoni,shika adabu
23,Mombasa,likoni,bofu
24,Mombasa,likoni,likoni
25,Mombasa,likoni,timbwani
26,Mombasa,mvita,mji wa kale makadara
27,Mombasa,mvita,tudor
28,Mombasa,mvita,tononoka
29,Mombasa,mvita,shimanzi ganjoni
30,Mombasa,mvita,majengo
31,Kwale,msambweni,gombatobongwe
32,Kwale,msambweni,ukunda
33,Kwale,msambweni,kinondo
34,Kwale,msambweni,ramisi
35,Kwale,lungalunga,pongwekikoneni
36,Kwale,lungalunga,dzombo
37,Kwale,lungalunga,mwereni
38,Kwale,lungalunga,vanga
39,Kwale,matuga,tsimba golini
40,Kwale,matuga,waa
41,Kwale,matuga,tiwi
42,Kwale,matuga,kubo south
43,Kwale,matuga,mkongani
44,Kwale,kinango,nadavaya
45,Kwale,kinango,puma
46,Kwale,kinango,kinango
47,Kwale,kinango,mackinnon-road
48,Kwale,kinango,chengoni samburu
49,Kwale,kinango,mwavumbo
50,Kwale,kinango,kasemeni
51,Kilifi,kilifi north,tezo
52,Kilifi,kilifi north,sokoni
53,Kilifi,kilifi north,kibarani
54,Kilifi,kilifi north,dabaso
55,Kilifi,kilifi north,matsangoni
56,Kilifi,kilifi north,watamu
57,Kilifi,kilifi north,mnarani
58,Kilifi,kilifi south,junju
59,Kilifi,kilifi south,mwarakaya
60,Kilifi,kilifi south,shimo la tewa
61,Kilifi,kilifi south,chasimba
62,Kilifi,kilifi south,mtepeni
63,Kilifi,kaloleni,mariakani
64,Kilifi,kaloleni,kayafungo
65,Kilifi,kaloleni,kaloleni
66,Kilifi,kaloleni,mwanamwinga
67,Kilifi,rabai,mwawesa
68,Kilifi,rabai,ruruma
69,Kilifi,rabai,kambe ribe
70,Kilifi,rabai,rabai kisurutini
71,Kilifi,ganze,ganze
72,Kilifi,ganze,bamba
73,Kilifi,ganze,jaribuni
74,Kilifi,ganze,sokoke
75,Kilifi,malindi,jilore
76,Kilifi,malindi,kakuyuni
77,Kilifi,malindi,ganda
78,Kilifi,malindi,malindi town
79,Kilifi,malindi,shella
80,Kilifi,magarini,marafa
81,Kilifi,magarini,magarini
82,Kilifi,magarini,gongoni
83,Kilifi,magarini,adu
84,Kilifi,magarini,garashi
85,Kilifi,magarini,sabaki
86,Tana River,garsen,kipini east
87,Tana River,garsen,garsen south
88,Tana River,garsen,kipini west
89,Tana River,garsen,garsen central
90,Tana River,garsen,garsen west
91,Tana River,garsen,garsen north
92,Tana River,galole,kinakomba
93,Tana River,galole,mikinduni
94,Tana River,galole,chewani
95,Tana River,galole,wayu
96,Tana River,bura,chewele
97,Tana River,bura,bura
98,Tana River,bura,bangale
99,Tana River,bura,sala
100,Tana River,bura,madogo
101,Lamu,lamu east,faza
102,Lamu,lamu east,kiunga
103,Lamu,lamu east,basuba
104,Lamu,lamu west,shella
105,Lamu,lamu west,mkomani
106,Lamu,lamu west,hindi
107,Lamu,lamu west,mkunumbi
108,Lamu,lamu west,hongwe
109,Lamu,lamu west,witu
110,Lamu,lamu west,bahari
111,Taita-Taveta,taveta,chala
112,Taita-Taveta,taveta,mahoo
113,Taita-Taveta,taveta,bomeni
114,Taita-Taveta,taveta,mboghoni
115,Taita-Taveta,taveta,mata
116,Taita-Taveta,wundanyi,wundanyi mbale
117,Taita-Taveta,wundanyi,werugha
118,Taita-Taveta,wundanyi,wumingu kishushe
119,Taita-Taveta,wundanyi,mwanda mgange
120,Taita-Taveta,mwatate,rong'e
121,Taita-Taveta,mwatate,mwatate
122,Taita-Taveta,mwatate,bura
123,Taita-Taveta,mwatate,chawia
124,Taita-Taveta,mwatate,wusi kishamba
125,Taita-Taveta,voi,mbololo
126,Taita-Taveta,voi,sagalla
127,Taita-Taveta,voi,kaloleni
128,Taita-Taveta,voi,marungu
129,Taita-Taveta,voi,kasigau
130,Taita-Taveta,voi,ngolia
131,Garissa,garissa township,waberi
132,Garissa,garissa township,galbet
133,Garissa,garissa township,township
134,Garissa,garissa township,iftin
135,Garissa,balambala,balambala
136,Garissa,balambala,danyere
137,Garissa,balambala,jara jara
138,Garissa,balambala,saka
139,Garissa,balambala,sankuri
140,Garissa,lagdera,modogashe
141,Garissa,lagdera,benane
142,Garissa,lagdera,goreale
143,Garissa,lagdera,maalimin
144,Garissa,lagdera,sabena
145,Garissa,lagdera,baraki
146,Garissa,dadaab,dertu
147,Garissa,dadaab,dadaab
148,Garissa,dadaab,labasigale
149,Garissa,dadaab,damajale
150,Garissa,dadaab,liboi
151,Garissa,dadaab,abakaile
